All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track
1,1.0,0.09120000359951336,0.05202484455216966,0.7495198173700668,0.9579031844038627,0.005162966526507043,0.027492686140911465,0.1344452012691189,0.02775665349868993,0.022862535143550647,0.020658860218441995,0.36036990598242363,0.023047457264837073,0.09623784697759617,0.09670389035609123,0.3651349046717832,0.540723236454018,0.012301419282303248,0.006065316020687145,0.012144346150324333,0.03265837124888489
2,0.7457556767682143,0.07560557256005557,0.04761590200392621,0.6655289492631553,0.9579031844038627,0.00712784835794701,0.05595649857487794,0.01572724978385198,0.001500520070656581,0.0008932681956034339,0.021452213224199154,0.3224403586282817,0.022936646773277232,0.00028180921516133574,0.10462754044068692,0.21624261696823857,0.526370837593206,0.005315590467265358,0.0075235841071262305,0.005087833345743409,0.9704980811106045
3,0.7351326549061621,0.14044441329375557,0.09202376052480475,0.8066056074371496,0.9579031844038627,0.0075108765755546305,0.03576735234272824,0.07052212285599353,0.011721547685353224,0.01444534237190776,0.051275716758566355,0.0912047047984501,0.041810992175766816,0.07538396505565732,0.21397391160810747,0.7535989002330788,0.8182029477630487,0.003431631935048271,0.001491332390956569,0.024046725418686694,0.03265837124888489
4,0.602698982359243,0.4744353405249799,0.4569869798150717,0.5205736840817878,0.6584417829700242,0.06715165074086085,0.1705917852203475,0.1675946426012737,0.04595500037881338,0.06261450604585897,0.45971512401726555,0.677598847489793,0.8295588392460387,0.3073129491334367,0.4168193537737572,0.5121441622840887,1.0,0.12999258666864164,0.05379773956543452,0.05379087620838191,0.03265837124888489
5,0.5721046793965323,0.024999336623505574,0.012232571295971653,0.577372502964273,0.9158063688077255,0.004740194958314011,0.058900578217505,0.000382261081171587,0.004933618034476752,0.005119018806414691,0.015468913800113695,0.3120959366226066,0.006853375782563942,0.0,0.049666789308991585,0.36641931883723694,0.49766603987158226,0.003070380011611192,0.0018529236251597669,0.002079287300955817,0.9704980811106045
6,0.5534081609193202,0.15664356757586234,0.179357408903591,0.6686694778953722,0.6584417829700242,0.00803462239320338,0.0223486151452114,0.09795725170063523,0.009156574784181054,0.012599826309681754,0.3933248086569783,0.0912047047984501,0.29364274022533343,0.6556291390728477,0.13473741076215054,0.3561829699080555,0.114988705543999,0.09464818568117521,0.013485210468846548,0.020551602232233776,0.9704980811106045
7,0.5493005924659933,0.2102451200840546,0.12384504506335632,0.7684039431171081,0.8947579610096568,0.01891360985675901,0.06613157894652376,0.022441504244317755,0.0012603158772896475,0.0022934870845647613,0.631243447618208,0.48105482938196636,0.2157019029030099,0.060307172044525854,0.26468527214951987,1.0,0.114988705543999,0.04471604193880552,0.015175457715780296,0.045452907561280564,0.03265837124888489
8,0.5048255409368676,0.15767445589777476,0.0679092330337014,0.8051924635134635,0.6584417829700242,0.01399161146616398,0.02310132147448272,0.08158506017680793,0.014422060020035175,0.016312423096289108,0.2898033630460084,0.2741663892684646,0.009686074439900777,0.004086233619839369,0.13632214077906968,0.6897733963189934,0.114988705543999,0.0023041613867560134,0.0015238676666017726,0.02758722734798392,0.9704980811106045
9,0.4763558423465673,0.3860865440349845,0.0,5.3365166824295296e-08,0.6584417829700242,0.024938596333445313,0.047177660912049925,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.0912047047984501,0.030084259019234432,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.9704980811106045
10,0.03155342544836012,0.02117860262734406,0.01761375088712396,0.702130905036293,0.8947579610096568,0.002005441465763995,0.015866453059110414,0.007594382461407517,0.005179063549893739,0.0041789071804230644,0.023966240587958026,0.32761256963111923,0.0021498360342218797,0.016344934479357476,0.12205957062679744,0.22407840233700055,0.4354723114747305,0.0006870780827793195,0.00022245664079362796,0.003031472000792449,0.9704980811106045
11,0.42876470440457287,0.05840972360457043,0.02746993094406927,0.6433024373285865,0.6584417829700242,0.001974430709302166,0.008829334150993254,0.022441504244317755,7.859556990515414e-06,9.003816782496767e-06,0.04487570827076299,0.0912047047984501,0.03504930223139705,0.009863322530646753,0.049666789308991585,0.2491619906108258,0.114988705543999,0.015820639967200432,0.005600035127517119,0.0043832389614115175,0.9704980811106045
12,0.42607353886618626,0.025961671817364234,1.6937927576809267e-06,0.0010054226137555051,0.6584417829700242,0.024938596333445313,0.047177660912049925,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.0912047047984501,0.030084259019234432,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.9704980811106045
13,0.42054956749791905,0.05176615641408995,0.023372646263239108,0.7519940704590894,0.9579031844038627,0.0024518905923593313,0.020979630709455323,0.00455242434854136,0.0019548674892225395,0.0015435982208941985,0.046930161610962105,0.4189882973479158,0.023255016002834947,0.006199802733549388,0.21714337164194575,0.7934718207030359,0.7751457511806129,0.0009255723888454495,0.0003221785832183577,0.002048927129409792,0.03265837124888489
14,0.40907670388690254,0.08295878752767379,0.07287373960646419,0.41231693894292665,0.9158063688077255,0.006008824867023638,0.023369042402905906,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.023936683981843048,0.2620978969285103,0.05075683003245566,0.00028180921516133574,0.08561078023765727,0.06228130637116192,0.5168025716859981,0.01793647908520519,0.004857278590836373,0.00893249205432954,0.9704980811106045
